DATE,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Value,Flag Codes
1970,GBR,TRADEGOODSERV,EXP,MLN_USD,A,123592.8181,E
1971,GBR,TRADEGOODSERV,EXP,MLN_USD,A,132144.02300000002,E
1972,GBR,TRADEGOODSERV,EXP,MLN_USD,A,133565.2044,E
1973,GBR,TRADEGOODSERV,EXP,MLN_USD,A,150000.951,E
1974,GBR,TRADEGOODSERV,EXP,MLN_USD,A,160970.7481,E
1975,GBR,TRADEGOODSERV,EXP,MLN_USD,A,156200.7468,E
1976,GBR,TRADEGOODSERV,EXP,MLN_USD,A,170424.6185,E
1977,GBR,TRADEGOODSERV,EXP,MLN_USD,A,182147.2111,E
1978,GBR,TRADEGOODSERV,EXP,MLN_USD,A,185514.9802,E
1979,GBR,TRADEGOODSERV,EXP,MLN_USD,A,192510.6376,E
1980,GBR,TRADEGOODSERV,EXP,MLN_USD,A,191930.1065,E
1981,GBR,TRADEGOODSERV,EXP,MLN_USD,A,190981.322,E
1982,GBR,TRADEGOODSERV,EXP,MLN_USD,A,193106.8114,E
1983,GBR,TRADEGOODSERV,EXP,MLN_USD,A,196993.8245,E
1984,GBR,TRADEGOODSERV,EXP,MLN_USD,A,210273.2748,E
1985,GBR,TRADEGOODSERV,EXP,MLN_USD,A,222580.9717,E
1986,GBR,TRADEGOODSERV,EXP,MLN_USD,A,231849.7312,E
1987,GBR,TRADEGOODSERV,EXP,MLN_USD,A,245433.0752,E
1988,GBR,TRADEGOODSERV,EXP,MLN_USD,A,246896.0056,E
1989,GBR,TRADEGOODSERV,EXP,MLN_USD,A,258143.6081,E
1990,GBR,TRADEGOODSERV,EXP,MLN_USD,A,271776.4232,E
1991,GBR,TRADEGOODSERV,EXP,MLN_USD,A,272227.3655,E
1992,GBR,TRADEGOODSERV,EXP,MLN_USD,A,284558.7949,E
1993,GBR,TRADEGOODSERV,EXP,MLN_USD,A,297508.4975,E
1994,GBR,TRADEGOODSERV,EXP,MLN_USD,A,324966.348,E
1995,GBR,TRADEGOODSERV,EXP,MLN_USD,A,355661.6241,E
1996,GBR,TRADEGOODSERV,EXP,MLN_USD,A,381919.6382,E
1997,GBR,TRADEGOODSERV,EXP,MLN_USD,A,420002.5427,E
1998,GBR,TRADEGOODSERV,EXP,MLN_USD,A,431824.7304,E
1999,GBR,TRADEGOODSERV,EXP,MLN_USD,A,444736.1594,E
2000,GBR,TRADEGOODSERV,EXP,MLN_USD,A,482686.6252,E
2001,GBR,TRADEGOODSERV,EXP,MLN_USD,A,492088.4267,E
2002,GBR,TRADEGOODSERV,EXP,MLN_USD,A,503232.2035,E
2003,GBR,TRADEGOODSERV,EXP,MLN_USD,A,518493.7451,E
2004,GBR,TRADEGOODSERV,EXP,MLN_USD,A,546500.4915,E
2005,GBR,TRADEGOODSERV,EXP,MLN_USD,A,589851.2158,E
2006,GBR,TRADEGOODSERV,EXP,MLN_USD,A,661192.4696,E
2007,GBR,TRADEGOODSERV,EXP,MLN_USD,A,654459.7148,E
2008,GBR,TRADEGOODSERV,EXP,MLN_USD,A,657209.8465,E
2009,GBR,TRADEGOODSERV,EXP,MLN_USD,A,602513.9843,E
2010,GBR,TRADEGOODSERV,EXP,MLN_USD,A,636604.8058,E
2011,GBR,TRADEGOODSERV,EXP,MLN_USD,A,677618.9318,E
2012,GBR,TRADEGOODSERV,EXP,MLN_USD,A,686974.7852,E
2013,GBR,TRADEGOODSERV,EXP,MLN_USD,A,697356.3633,E
2014,GBR,TRADEGOODSERV,EXP,MLN_USD,A,713273.3417,E
2015,GBR,TRADEGOODSERV,EXP,MLN_USD,A,744938.3713,E
2016,GBR,TRADEGOODSERV,EXP,MLN_USD,A,752686.0396,E
2017,GBR,TRADEGOODSERV,EXP,MLN_USD,A,794925.8999,E
2018,GBR,TRADEGOODSERV,EXP,MLN_USD,A,795848.9171,E
