DATE,GDP
1970-01-01,56177000000.0
1971-01-01,62948000000.0
1972-01-01,70663000000.0
1973-01-01,81895000000.0
1974-01-01,92743000000.0
1975-01-01,115176000000.0
1976-01-01,136949000000.00002
1977-01-01,159701000000.0
1978-01-01,185968000000.0
1979-01-01,220845000000.0
1980-01-01,259962000000.0
1981-01-01,289899000000.0
1982-01-01,319210000000.0
1983-01-01,351109000000.0
1984-01-01,377577000000.0
1985-01-01,414329000000.0
1986-01-01,446413000000.0
1987-01-01,495534000000.0
1988-01-01,554896000000.0
1989-01-01,613381000000.0
1990-01-01,667435000000.0
1991-01-01,703728000000.0
1992-01-01,727965000000.0
1993-01-01,766408000000.0
1994-01-01,806420000000.0
1995-01-01,846536000000.0
1996-01-01,903432000000.0
1997-01-01,948953000000.0
1998-01-01,991238000000.0
1999-01-01,1031157999999.9999
2000-01-01,1089340999999.9999
2001-01-01,1129443000000.0
2002-01-01,1182956000000.0
2003-01-01,1251847000000.0
2004-01-01,1312854000000.0
2005-01-01,1388753000000.0
2006-01-01,1465902000000.0
2007-01-01,1541442000000.0
2008-01-01,1579796000000.0
2009-01-01,1537213000000.0
2010-01-01,1587466000000.0
2011-01-01,1644546000000.0
2012-01-01,1694417000000.0
2013-01-01,1761347000000.0
2014-01-01,1844295000000.0
2015-01-01,1895839000000.0
2016-01-01,1969524000000.0
2017-01-01,2049629000000.0
2018-01-01,2117724000000.0002
