"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","EXP","MLN_USD","A","2007",142029.3,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2008",187366.9,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2009",153824.2,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2010",213180.3,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2011",271590.2,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2012",258475.2,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2013",254201.7,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2014",240405.1,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2015",188030.4,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2016",192568.1,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2017",231423.8,
"AUS","TRADEGOOD","EXP","MLN_USD","A","2018",258071,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2007",156516.5,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2008",171352.4,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2009",131221.1,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2010",145020.8,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2011",170097.4,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2012",160230.1,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2013",164204.7,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2014",167318.3,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2015",143304.4,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2016",145442.5,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2017",158538.9,
"AUT","TRADEGOOD","EXP","MLN_USD","A","2018",178914.9,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2007",288222.3,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2008",312351.6,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2009",240493,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2010",271307.5,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2011",323516.9,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2012",300822.8,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2013",312609.5,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2014",310312.5,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2015",253866.1,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2016",268891.9,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2017",297038.5,
"BEL","TRADEGOOD","EXP","MLN_USD","A","2018",324552.2,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2007",429467.4,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2008",456425.5,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2009",321726.7,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2010",392113.5,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2011",461632.8,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2012",461863.6,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2013",465209.2,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2014",479168,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2015",409963.8,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2016",393463.4,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2017",423293.1,
"CAN","TRADEGOOD","EXP","MLN_USD","A","2018",451539.3,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2007",106468.5,
