"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADESERV","EXP","MLN_USD","A","2007",43618.43,
"AUS","TRADESERV","EXP","MLN_USD","A","2008",48020.02,
"AUS","TRADESERV","EXP","MLN_USD","A","2009",44192.65,
"AUS","TRADESERV","EXP","MLN_USD","A","2010",51898.06,
"AUS","TRADESERV","EXP","MLN_USD","A","2011",58107.39,
"AUS","TRADESERV","EXP","MLN_USD","A","2012",58551.81,
"AUS","TRADESERV","EXP","MLN_USD","A","2013",57878.89,
"AUS","TRADESERV","EXP","MLN_USD","A","2014",59076.43,
"AUS","TRADESERV","EXP","MLN_USD","A","2015",54884.73,
"AUS","TRADESERV","EXP","MLN_USD","A","2016",58026.34,
"AUS","TRADESERV","EXP","MLN_USD","A","2017",65123.07,
"AUS","TRADESERV","EXP","MLN_USD","A","2018",69335.27,
"AUT","TRADESERV","EXP","MLN_USD","A","2007",54428.19,
"AUT","TRADESERV","EXP","MLN_USD","A","2008",62833.49,
"AUT","TRADESERV","EXP","MLN_USD","A","2009",53938.56,
"AUT","TRADESERV","EXP","MLN_USD","A","2010",52532.07,
"AUT","TRADESERV","EXP","MLN_USD","A","2011",59252.56,
"AUT","TRADESERV","EXP","MLN_USD","A","2012",57908.28,
"AUT","TRADESERV","EXP","MLN_USD","A","2013",64529.61,
"AUT","TRADESERV","EXP","MLN_USD","A","2014",68575.47,
"AUT","TRADESERV","EXP","MLN_USD","A","2015",59031.45,
"AUT","TRADESERV","EXP","MLN_USD","A","2016",61433.3,
"AUT","TRADESERV","EXP","MLN_USD","A","2017",66818.3,
"AUT","TRADESERV","EXP","MLN_USD","A","2018",74657.35,
"BEL","TRADESERV","EXP","MLN_USD","A","2007",76827.68,
"BEL","TRADESERV","EXP","MLN_USD","A","2008",96651.62,
"BEL","TRADESERV","EXP","MLN_USD","A","2009",91932.43,
"BEL","TRADESERV","EXP","MLN_USD","A","2010",98426.12,
"BEL","TRADESERV","EXP","MLN_USD","A","2011",105256.3,
"BEL","TRADESERV","EXP","MLN_USD","A","2012",106422,
"BEL","TRADESERV","EXP","MLN_USD","A","2013",113206.2,
"BEL","TRADESERV","EXP","MLN_USD","A","2014",124931.1,
"BEL","TRADESERV","EXP","MLN_USD","A","2015",113443.7,
"BEL","TRADESERV","EXP","MLN_USD","A","2016",108883.1,
"BEL","TRADESERV","EXP","MLN_USD","A","2017",117126.8,
"BEL","TRADESERV","EXP","MLN_USD","A","2018",123561.9,
"CAN","TRADESERV","EXP","MLN_USD","A","2007",70767.77,
"CAN","TRADESERV","EXP","MLN_USD","A","2008",75006.66,
"CAN","TRADESERV","EXP","MLN_USD","A","2009",68760.01,
"CAN","TRADESERV","EXP","MLN_USD","A","2010",76920.51,
"CAN","TRADESERV","EXP","MLN_USD","A","2011",85284.38,
"CAN","TRADESERV","EXP","MLN_USD","A","2012",89291.98,
