DATE,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Value,Flag Codes
1970,USA,TRADEGOODSERV,EXP,MLN_USD,A,187598.0433,
1971,USA,TRADEGOODSERV,EXP,MLN_USD,A,190849.3432,
1972,USA,TRADEGOODSERV,EXP,MLN_USD,A,205725.2304,
1973,USA,TRADEGOODSERV,EXP,MLN_USD,A,244440.2495,
1974,USA,TRADEGOODSERV,EXP,MLN_USD,A,263855.6346,
1975,USA,TRADEGOODSERV,EXP,MLN_USD,A,262166.0415,
1976,USA,TRADEGOODSERV,EXP,MLN_USD,A,273613.2682,
1977,USA,TRADEGOODSERV,EXP,MLN_USD,A,280189.6127,
1978,USA,TRADEGOODSERV,EXP,MLN_USD,A,309764.9599,
1979,USA,TRADEGOODSERV,EXP,MLN_USD,A,340439.9428,
1980,USA,TRADEGOODSERV,EXP,MLN_USD,A,377096.6455,
1981,USA,TRADEGOODSERV,EXP,MLN_USD,A,381692.1521,
1982,USA,TRADEGOODSERV,EXP,MLN_USD,A,352466.8587,
1983,USA,TRADEGOODSERV,EXP,MLN_USD,A,343333.7211,
1984,USA,TRADEGOODSERV,EXP,MLN_USD,A,371324.9581,
1985,USA,TRADEGOODSERV,EXP,MLN_USD,A,383767.2711,
1986,USA,TRADEGOODSERV,EXP,MLN_USD,A,413172.7256,
1987,USA,TRADEGOODSERV,EXP,MLN_USD,A,458326.86799999996,
1988,USA,TRADEGOODSERV,EXP,MLN_USD,A,532632.5592,
1989,USA,TRADEGOODSERV,EXP,MLN_USD,A,594294.3064,
1990,USA,TRADEGOODSERV,EXP,MLN_USD,A,646722.1006,
1991,USA,TRADEGOODSERV,EXP,MLN_USD,A,689497.7440000001,
1992,USA,TRADEGOODSERV,EXP,MLN_USD,A,737261.8878,
1993,USA,TRADEGOODSERV,EXP,MLN_USD,A,761410.0006,
1994,USA,TRADEGOODSERV,EXP,MLN_USD,A,828687.5445,
1995,USA,TRADEGOODSERV,EXP,MLN_USD,A,913869.1746,
1996,USA,TRADEGOODSERV,EXP,MLN_USD,A,988583.7287,
1997,USA,TRADEGOODSERV,EXP,MLN_USD,A,1106323.1645,
1998,USA,TRADEGOODSERV,EXP,MLN_USD,A,1132164.6043,
1999,USA,TRADEGOODSERV,EXP,MLN_USD,A,1188562.4755,
2000,USA,TRADEGOODSERV,EXP,MLN_USD,A,1287738.7906,
2001,USA,TRADEGOODSERV,EXP,MLN_USD,A,1213252.9384,
2002,USA,TRADEGOODSERV,EXP,MLN_USD,A,1192179.6983,
2003,USA,TRADEGOODSERV,EXP,MLN_USD,A,1218199.4322,
2004,USA,TRADEGOODSERV,EXP,MLN_USD,A,1335978.0741,
2005,USA,TRADEGOODSERV,EXP,MLN_USD,A,1431204.8486,
2006,USA,TRADEGOODSERV,EXP,MLN_USD,A,1564919.8074,
2007,USA,TRADEGOODSERV,EXP,MLN_USD,A,1701096.3446,
2008,USA,TRADEGOODSERV,EXP,MLN_USD,A,1797347.1432,
2009,USA,TRADEGOODSERV,EXP,MLN_USD,A,1646431.9399,
2010,USA,TRADEGOODSERV,EXP,MLN_USD,A,1846280.0,
2011,USA,TRADEGOODSERV,EXP,MLN_USD,A,1978083.1982,
2012,USA,TRADEGOODSERV,EXP,MLN_USD,A,2045509.1649,
2013,USA,TRADEGOODSERV,EXP,MLN_USD,A,2118638.6753,
2014,USA,TRADEGOODSERV,EXP,MLN_USD,A,2207928.537,
2015,USA,TRADEGOODSERV,EXP,MLN_USD,A,2218374.143,
2016,USA,TRADEGOODSERV,EXP,MLN_USD,A,2218069.8296,
2017,USA,TRADEGOODSERV,EXP,MLN_USD,A,2295205.8226,
2018,USA,TRADEGOODSERV,EXP,MLN_USD,A,2364439.0006,
