"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","EXP","MLN_USD","A","1960",2002.245,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1961",2359.122,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1962",2385.124,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1963",2808.151,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1964",3027.538,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1965",2953.563,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1966",3081.653,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1967",3384.23,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1968",3420.944,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1969",4028.505,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1970",4614.918,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1971",5097.689,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1972",6338.397,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1973",9405.97,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1974",11022.1,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1975",11944.88,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1976",13207.98,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1977",13420.07,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1978",14361.11,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1979",18918.78,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1980",22005.06,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1981",21778.41,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1982",21667.38,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1983",19863.97,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1984",23240.27,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1985",22984.59,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1986",22691.23,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1987",27225.37,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1988",33369.22,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1989",37255.23,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1990",39680.82,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1991",42433.45,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1992",42935.16,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1993",42663.53,
"AUS","TRADEGOOD","EXP","MLN_USD","A","1994",47321.14,
